DALLAS-FT. WORTH                        |2177
ALBANY-SCHENECTADY-TROY|138
FRESNO-VISALIA                          |218
BURLINGTON-PLATTSBURGH                  |72
OMAHA                                   |136
CASPER-RIVERTON                         |19
BAKERSFIELD                             |94
MYRTLE BEACH-FLORENCE|93
COLUMBUS-TUPELO-W PNT-HSTN              |56
WILMINGTON                              |56
GAINESVILLE                             |35
EUGENE                                  |78
OTTUMWA-KIRKSVILLE                      |16
ZANESVILLE|14
KANSAS CITY                             |1200
IDAHO FALS-POCATLLO(JCKSN)              |44
BUFFALO|875
SIOUX CITY                              |48
FT. SMITH-FAY-SPRNGDL-RGRS|103
COLUMBIA-JEFFERSON CITY                 |51
WILKES BARRE-SCRANTON-HZTN|189
HONOLULU                                |147
GRAND JUNCTION-MONTROSE                 |20
JUNEAU                                  |3
TAMPA-ST. PETE (SARASOTA)|1628
ATLANTA|2130
CHATTANOOGA|108
TERRE HAUTE                             |50
LANSING|76
SAVANNAH                                |105
HELENA                                  |8
ORLANDO-DAYTONA BCH-MELBRN|1703
AUSTIN                                  |1259
AUGUSTA-AIKEN|78
SPOKANE|133
SPRINGFIELD, MO|101
LAFAYETTE, LA|60
PORTLAND, OR|1578
WACO-TEMPLE-BRYAN|114
SAN FRANCISCO-OAK-SAN JOSE|2717
YAKIMA-PASCO-RCHLND-KNNWCK|77
AMARILLO                                |63
CHEYENNE-SCOTTSBLUFF                    |20
BEND, OR|22
LAFAYETTE, IN                           |17
HOUSTON                                 |2176
TULSA                                   |972
JONESBORO|29
ANCHORAGE                               |54
HUNTSVILLE-DECATUR (FLOR)               |119
BUTTE-BOZEMAN|17
BOSTON (MANCHESTER)                     |1957
CEDAR RAPIDS-WTRLO-IWC&DUB              |93
CHARLOTTESVILLE|24
FARGO-VALLEY CITY                       |60
DETROIT                                 |1605
MEDFORD-KLAMATH FALLS|47
MISSOULA|29
DAYTON|1084
NEW ORLEANS                             |1204
QUINCY-HANNIBAL-KEOKUK|34
GREAT FALLS                             |20
SIOUX FALLS(MITCHELL)|80
MOBILE-PENSACOLA (FT WALT)|177
MACON                                   |78
EL PASO (LAS CRUCES)                    |132
COLUMBUS, OH                            |1449
SALT LAKE CITY|1511
NASHVILLE|1281
LUBBOCK|64
DES MOINES-AMES                         |142
MONTGOMERY-SELMA|73
DAVENPORT-R.ISLAND-MOLINE               |81
RAPID CITY                              |27
BILOXI-GULFPORT|37
MINNEAPOLIS-ST. PAUL|1693
MANKATO                                 |22
MONROE-EL DORADO                        |56
CHARLOTTE                               |2024
LOS ANGELES|3880
BIRMINGHAM (ANN AND TUSC)               |1148
CLEVELAND-AKRON (CANTON)|1422
WICHITA-HUTCHINSON PLUS|156
COLUMBIA, SC|125
BINGHAMTON                              |48
BOWLING GREEN                           |24
TOPEKA|66
CHAMPAIGN&SPRNGFLD-DECATUR              |116
WICHITA FALLS & LAWTON                  |68
TOLEDO|104
LA CROSSE-EAU CLAIRE                    |63
CHICO-REDDING                           |51
NEW YORK                                |3395
SAN DIEGO|1378
PEORIA-BLOOMINGTON                      |71
CHARLESTON-HUNTINGTON|135
HARLINGEN-WSLCO-BRNSVL-MCA              |160
PRESQUE ISLE                            |5
PHOENIX (PRESCOTT)                      |2084
COLORADO SPRINGS-PUEBLO|98
TUCSON (SIERRA VISTA)|145
DULUTH-SUPERIOR|52
PARKERSBURG|20
PALM SPRINGS                            |49
BOISE|88
FT. MYERS-NAPLES|827
KNOXVILLE                               |897
MEMPHIS                                 |951
ABILENE-SWEETWATER                      |40
RENO                                    |88
ALPENA                                  |1
FLINT-SAGINAW-BAY CITY                  |147
UTICA                                   |26
EVANSVILLE|91
EUREKA|17
FAIRBANKS|9
HARTFORD & NEW HAVEN|1392
CINCINNATI                              |1185
GREENVLL-SPART-ASHEVLL-AND|1390
MINOT-BSMRCK-DCKNSN(WLSTN)              |44
JOPLIN-PITTSBURG                        |44
LEXINGTON|161
ROCHESTER, NY                           |98
ALEXANDRIA, LA|20
LINCOLN & HASTINGS-KRNY                 |86
SEATTLE-TACOMA|1755
NORFOLK-PORTSMTH-NEWPT NWS              |980
WASHINGTON, DC (HAGRSTWN)               |2042
DENVER                                  |2012
JACKSONVILLE|1110
LAREDO|25
LIMA                                    |22
ALBUQUERQUE-SANTA FE                    |1177
MONTEREY-SALINAS|71
GRAND RAPIDS-KALMZOO-B.CRK              |220
TRI-CITIES, TN-VA                       |85
ST. LOUIS                               |1970
SANTABARBRA-SANMAR-SANLUOB|77
TRAVERSE CITY-CADILLAC                  |79
SHERMAN-ADA                             |45
JACKSON, MS|104
LAS VEGAS|1270
TWIN FALLS|21
PITTSBURGH                              |1353
WATERTOWN|28
LOUISVILLE                              |1139
RICHMOND-PETERSBURG|908
ROANOKE-LYNCHBURG|139
DOTHAN|35
BEAUMONT-PORT ARTHUR|51
BANGOR                                  |37
MADISON                                 |102
MARQUETTE                               |16
CORPUS CHRISTI                          |66
GREENWOOD-GREENVILLE                    |22
BATON ROUGE|102
SHREVEPORT                              |111
TALLAHASSEE-THOMASVILLE                 |85
TYLER-LONGVIEW(LFKN&NCGD)|87
CHICAGO                                 |2570
HARRISBURG-LNCSTR-LEB-YORK|221
ODESSA-MIDLAND                          |46
MILWAUKEE                               |1118
SOUTH BEND-ELKHART                      |120
ROCHESTR-MASON CITY-AUSTIN              |36
SAN ANTONIO                             |1367
BILLINGS                                |43
BLUEFIELD-BECKLEY-OAK HILL|31
YOUNGSTOWN                              |88
SALISBURY|39
OKLAHOMA CITY                           |930
WEST PALM BEACH-FT. PIERCE              |1079
SPRINGFIELD-HOLYOKE                     |74
HARRISONBURG|28
MIAMI-FT. LAUDERDALE                    |2062
HATTIESBURG-LAUREL                      |34
INDIANAPOLIS|1270
WAUSAU-RHINELANDER                      |66
JACKSON, TN                             |30
SACRAMNTO-STKTON-MODESTO|1656
LITTLE ROCK-PINE BLUFF                  |181
ROCKFORD                                |69
WHEELING-STEUBENVILLE|42
PORTLAND-AUBURN                         |122
YUMA-EL CENTRO                          |37
ELMIRA (CORNING)|30
PHILADELPHIA|2495
GREENSBORO-H.POINT-W.SALEM              |1139
CLARKSBURG-WESTON                       |46
PROVIDENCE-NEW BEDFORD                  |903
COLUMBUS, GA (OPELIKA, AL)              |63
ALBANY, GA|48
BALTIMORE                               |1473
PADUCAH-CAPE GIRARD-HARSBG              |128
VICTORIA                                |13
LAKE CHARLES                            |38
SAN ANGELO|16
JOHNSTOWN-ALTOONA-ST COLGE|93
RALEIGH-DURHAM (FAYETVLLE)|1500
FT. WAYNE                               |94
ERIE|45
SYRACUSE                                |110
ST. JOSEPH                              |13
GREENVILLE-N.BERN-WASHNGTN              |107
CHARLESTON, SC                          |85
GREEN BAY-APPLETON|143
PANAMA CITY|37
MERIDIAN|13
